boolean,系统正常,501
boolean,安全链断开,502
boolean,刹车1磨损,503
boolean,塔基手动停机,504
boolean,机舱手动停机,505
boolean,电场监控手动停机,506
boolean,机舱控制盒急停按钮动作,507
boolean,机舱紧急停机按钮动作,508
boolean,刹车2磨损,509
boolean,刹车反馈1故障,510
boolean,手动刹车,511
boolean,人工维护调桨,512
boolean,塔基维护,513
boolean,机舱维护,514
boolean,碳刷磨损,515
boolean,上电复位失败,516
boolean,塔筒振动时段,517
boolean,转速异常,518
boolean,机组待风,519
boolean,机组启动时间长,520
boolean,刹车反馈2故障,521
boolean,运行并网转速范围外,522
boolean,机组负功率故障,523
boolean,发电功率过高,524
boolean,发电功率超过最大值,525
boolean,风速大功率小,526
boolean,叶轮转速不匹配,527
boolean,发电机转速不匹配,528
boolean,齿轮箱高速轴过速1,529
boolean,叶轮过速1,530
boolean,发电机过速1,531
boolean,叶轮过速2,532
boolean,齿轮箱高速轴过速2,533
boolean,液压系统压力高,534
boolean,液压系统压力低,535
boolean,变流器急停,536
boolean,变流器故障,537
boolean,变流器未准备好,538
boolean,变流器启动失败,539
boolean,主断路器脱扣,540
boolean,变流器检测电网故障,541
boolean,变流器检测过速,542
boolean,B50停机时间过长,543
boolean,B52停机时间过长,544
boolean,B60停机时间过长,545
boolean,B75停机时间过长,546
boolean,B180停机时间过长,547
boolean,B190停机时间过长,548
boolean,B200停机时间过长,549
boolean,电量采集模块通讯故障,550
boolean,电网掉电压,551
boolean,电网电压高,553
boolean,电网电压低,554
boolean,电网频率低,556
boolean,电网频率高,557
boolean,三相电流不平衡,558
boolean,有功无功调度停机,559
boolean,风向波动大,560
boolean,风向标故障,561
boolean,风速测量不一致,562
boolean,风速传感器1故障,563
boolean,风速传感器2故障,564
boolean,风速传感器1、2故障,565
boolean,液压系统建压时间长,566
boolean,左偏航解缆,567
boolean,风速超过最大值,568
boolean,右偏航解缆,569
boolean,左纽缆故障,570
boolean,右纽缆故障,571
boolean,左纽缆限位开关动作,572
boolean,右纽缆限位开关动作,573
boolean,偏航刹车过载,574
boolean,偏航电机1+3过载,575
boolean,偏航电机2+4过载,576
boolean,防雷模块失效,577
boolean,发电机散热风扇过载,578
boolean,发电机散热风扇23过载,579
boolean,液压油位低,580
boolean,偏航传感器故障,581
boolean,偏航传感器信号与偏航方向冲突,582
boolean,叶轮超速保护模块动作,583
boolean,液压泵过载,584
