float,系统正常,3201
float,安全链断开,3203
float,刹车1磨损,3205
float,塔基手动停机,3207
float,机舱手动停机,3209
float,电场监控手动停机,3211
float,机舱控制盒急停按钮动作,3213
float,机舱紧急停机按钮动作,3215
float,刹车2磨损,3217
float,刹车反馈1故障,3219
float,手动刹车,3221
float,人工维护调桨,3223
float,塔基维护,3225
float,机舱维护,3227
float,碳刷磨损,3229
float,上电复位失败,3231
float,塔筒振动时段,3233
float,转速异常,3235
float,机组待风,3237
float,机组启动时间长,3239
float,刹车反馈2故障,3241
float,运行并网转速范围外,3243
float,机组负功率故障,3245
float,发电功率过高,3247
float,发电功率超过最大值,3249
float,风速大功率小,3251
float,叶轮转速不匹配,3253
float,发电机转速不匹配,3255
float,齿轮箱高速轴过速1,3257
float,叶轮过速1,3259
float,发电机过速1,3261
float,叶轮过速2,3263
float,齿轮箱高速轴过速2,3265
float,液压系统压力高,3267
float,液压系统压力低,3269
float,变流器急停,3271
float,变流器故障,3273
float,变流器未准备好,3275
float,变流器启动失败,3277
float,主断路器脱扣,3279
float,变流器检测电网故障,3281
float,变流器检测过速,3283
float,B50停机时间过长,3285
float,B52停机时间过长,3287
float,B60停机时间过长,3289
float,B75停机时间过长,3291
float,B180停机时间过长,3293
float,B190停机时间过长,3295
float,B200停机时间过长,3297
float,电量采集模块通讯故障,3299
float,电网掉电压,3301
float,电网电压高,3305
float,电网电压低,3307
float,电网频率低,3311
float,电网频率高,3313
float,三相电流不平衡,3315
float,有功无功调度停机,3317
float,风向波动大,3319
float,风向标故障,3321
float,风速测量不一致,3323
float,风速传感器1故障,3325
float,风速传感器2故障,3327
float,风速传感器1、2故障,3329
float,液压系统建压时间长,3331
float,左偏航解缆,3333
float,风速超过最大值,3335
float,右偏航解缆,3337
float,左纽缆故障,3339
float,右纽缆故障,3341
float,左纽缆限位开关动作,3343
float,右纽缆限位开关动作,3345
float,偏航刹车过载,3347
float,偏航电机1+3过载,3349
float,偏航电机2+4过载,3351
float,防雷模块失效,3353
float,发电机散热风扇过载,3355
float,发电机散热风扇23过载,3357
float,液压油位低,3359
float,偏航传感器故障,3361
float,偏航传感器信号与偏航方向冲突,3363
float,叶轮超速保护模块动作,3365
float,液压泵过载,3367
float,齿轮箱超速保护模块动作,3369
float,桨叶调节不一致,3371
float,桨叶1调桨过慢,3373
float,轮毂温度高,3375
float,机组启动次数多,3381
float,主控给定转矩与变流器测转矩偏差大,3385
float,电池关桨不到位,3387
float,变桨系统故障,3389
float,与变桨系统通讯故障,3391
float,变桨自主运行,3393
float,桨叶1跟随故障,3395
float,桨距角超限,3397
float,变桨蓄电池容量检测,3399
float,变桨蓄电池测试蓄电池1容量不足,3401
float,变桨蓄电池测试蓄电池2容量不足,3403
float,变桨蓄电池测试蓄电池3容量不足,3405
float,故障停机蓄电池1容量不足,3407
float,故障停机蓄电池2容量不足,3409
float,故障停机蓄电池3容量不足,3411
float,轮毂蓄电池欠压/过压,3413
float,变桨系统蓄电池充电循环故障,3415
float,桨叶1编码器A故障停机,3417
float,桨叶2编码器A故障停机,3419
float,桨叶3编码器A故障停机,3421
float,变桨1速度高,3423
float,变桨2速度高,3425
float,变桨3速度高,3427
float,桨叶1蓄电池电压报警,3429
